id;street_address;postal_code;city;state_province
1;overconfidently incomplete apud;drat;Taliaview;upwardly
2;greatly leading;slaw yesterday academic;Lake Jaylincester;where
3;pro reallocate;miaow;Murphyboro;unexpectedly loyally
4;oh slope;unaware;East Heath;crushing off
5;toward than electrocute;where yet lovely;Fort Petra;pertinent inasmuch by
6;yahoo lazily;that woot;Amarillo;discount inasmuch
7;mollycoddle;after kissingly;Kuhicton;notable daintily
8;pish;while;Quitzontown;bleakly
9;yippee cookie relieved;bewitched;North Isabellaport;especially partial
10;pfft now;atop phew timpani;South Alden;skinny blather
